plotID,subplotID,cnt,species,source
CPER_001,31_1_1,9,atriplex canescens,true
CPER_001,31_1_1,9,bouteloua gracilis,true
CPER_001,31_1_1,9,carex duriuscula,true
CPER_001,31_1_1,9,elymus elymoides,true
CPER_001,31_1_1,9,elymus smithii,true
CPER_001,31_1_1,9,plantago patagonica,true
CPER_001,31_1_1,9,sphaeralcea coccinea,true
CPER_001,31_1_1,9,sporobolus cryptandrus,true
CPER_001,31_1_1,9,festuca octoflora,true
CPER_001,31_1_4,5,bouteloua gracilis,true
CPER_001,31_1_4,5,carex duriuscula,true
CPER_001,31_1_4,5,elymus smithii,true
CPER_001,31_1_4,5,sporobolus cryptandrus,true
CPER_001,31_1_4,5,festuca octoflora,true
CPER_001,32_1_2,10,artemisia frigida,true
CPER_001,32_1_2,10,bouteloua gracilis,true
CPER_001,32_1_2,10,distichlis spicata,true
CPER_001,32_1_2,10,lepidium densiflorum,true
CPER_001,32_1_2,10,opuntia polyacantha,true
CPER_001,32_1_2,10,elymus smithii,true
CPER_001,32_1_2,10,phemeranthus parviflorus,true
CPER_001,32_1_2,10,plantago patagonica,true
CPER_001,32_1_2,10,portulaca oleracea,true
CPER_001,32_1_2,10,festuca octoflora,true
CPER_001,32_1_4,5,bouteloua gracilis,true
CPER_001,32_1_4,5,distichlis spicata,true
CPER_001,32_1_4,5,elymus smithii,true
CPER_001,32_1_4,5,sporobolus cryptandrus,true
CPER_001,32_1_4,5,festuca octoflora,true
CPER_001,40_1_1,6,bouteloua gracilis,true
CPER_001,40_1_1,6,carex duriuscula,true
CPER_001,40_1_1,6,distichlis spicata,true
CPER_001,40_1_1,6,elymus smithii,true
CPER_001,40_1_1,6,sporobolus cryptandrus,true
CPER_001,40_1_1,6,festuca octoflora,true
CPER_001,40_1_3,4,bouteloua gracilis,true
CPER_001,40_1_3,4,distichlis spicata,true
CPER_001,40_1_3,4,elymus smithii,true
CPER_001,40_1_3,4,sporobolus cryptandrus,true
CPER_001,41_1_1,6,bouteloua gracilis,true
CPER_001,41_1_1,6,carex duriuscula,true
CPER_001,41_1_1,6,distichlis spicata,true
CPER_001,41_1_1,6,elymus smithii,true
CPER_001,41_1_1,6,sporobolus cryptandrus,true
CPER_001,41_1_1,6,festuca octoflora,true
CPER_001,41_1_4,8,artemisia frigida,true
CPER_001,41_1_4,8,bouteloua gracilis,true
CPER_001,41_1_4,8,distichlis spicata,true
CPER_001,41_1_4,8,elymus smithii,true
CPER_001,41_1_4,8,phemeranthus parviflorus,true
CPER_001,41_1_4,8,portulaca oleracea,true
CPER_001,41_1_4,8,sporobolus cryptandrus,true
CPER_001,41_1_4,8,festuca octoflora,true
CPER_001,31_1_1,4,elymus lanceolatus,pred
CPER_001,31_1_1,4,distichlis spicata,pred
CPER_001,31_1_1,4,muhlenbergia pungens,pred
CPER_001,31_1_1,4,hesperostipa comata,pred
CPER_001,31_1_4,5,sporobolus hookerianus,pred
CPER_001,31_1_4,5,bouteloua gracilis,pred
CPER_001,31_1_4,5,chloris verticillata,pred
CPER_001,31_1_4,5,elymus lanceolatus,pred
CPER_001,31_1_4,5,leymus triticoides,pred
CPER_001,32_1_2,6,elymus albicans,pred
CPER_001,32_1_2,6,elymus lanceolatus,pred
CPER_001,32_1_2,6,opuntia polyacantha,pred
CPER_001,32_1_2,6,distichlis spicata,pred
CPER_001,32_1_2,6,bouteloua gracilis,pred
CPER_001,32_1_2,6,muhlenbergia torreyi,pred
CPER_001,32_1_4,6,bouteloua gracilis,pred
CPER_001,32_1_4,6,hesperostipa comata,pred
CPER_001,32_1_4,6,sporobolus hookerianus,pred
CPER_001,32_1_4,6,munroa squarrosa,pred
CPER_001,32_1_4,6,distichlis spicata,pred
CPER_001,32_1_4,6,muhlenbergia richardsonis,pred
CPER_001,40_1_1,5,bouteloua gracilis,pred
CPER_001,40_1_1,5,hesperostipa comata,pred
CPER_001,40_1_1,5,muhlenbergia torreyi,pred
CPER_001,40_1_1,5,sporobolus hookerianus,pred
CPER_001,40_1_1,5,elymus lanceolatus,pred
CPER_001,40_1_3,5,elymus lanceolatus,pred
CPER_001,40_1_3,5,sporobolus hookerianus,pred
CPER_001,40_1_3,5,bouteloua dactyloides,pred
CPER_001,40_1_3,5,bouteloua gracilis,pred
CPER_001,40_1_3,5,muhlenbergia torreyi,pred
CPER_001,41_1_1,3,muhlenbergia richardsonis,pred
CPER_001,41_1_1,3,distichlis spicata,pred
CPER_001,41_1_1,3,muhlenbergia pungens,pred
CPER_001,41_1_4,6,bouteloua gracilis,pred
CPER_001,41_1_4,6,carex filifolia,pred
CPER_001,41_1_4,6,muhlenbergia richardsonis,pred
CPER_001,41_1_4,6,sporobolus hookerianus,pred
CPER_001,41_1_4,6,muhlenbergia torreyi,pred
CPER_001,41_1_4,6,muhlenbergia pungens,pred
CPER_001,31_1_1,9,atriplex canescens,true
CPER_001,31_1_1,9,bouteloua gracilis,true
CPER_001,31_1_1,9,carex duriuscula,true
CPER_001,31_1_1,9,elymus elymoides,true
CPER_001,31_1_1,9,elymus smithii,true
CPER_001,31_1_1,9,plantago patagonica,true
CPER_001,31_1_1,9,sphaeralcea coccinea,true
CPER_001,31_1_1,9,sporobolus cryptandrus,true
CPER_001,31_1_1,9,festuca octoflora,true
CPER_001,31_1_4,5,bouteloua gracilis,true
CPER_001,31_1_4,5,carex duriuscula,true
CPER_001,31_1_4,5,elymus smithii,true
CPER_001,31_1_4,5,sporobolus cryptandrus,true
CPER_001,31_1_4,5,festuca octoflora,true
CPER_001,32_1_2,10,artemisia frigida,true
CPER_001,32_1_2,10,bouteloua gracilis,true
CPER_001,32_1_2,10,distichlis spicata,true
CPER_001,32_1_2,10,lepidium densiflorum,true
CPER_001,32_1_2,10,opuntia polyacantha,true
CPER_001,32_1_2,10,elymus smithii,true
CPER_001,32_1_2,10,phemeranthus parviflorus,true
CPER_001,32_1_2,10,plantago patagonica,true
CPER_001,32_1_2,10,portulaca oleracea,true
CPER_001,32_1_2,10,festuca octoflora,true
CPER_001,32_1_4,5,bouteloua gracilis,true
CPER_001,32_1_4,5,distichlis spicata,true
CPER_001,32_1_4,5,elymus smithii,true
CPER_001,32_1_4,5,sporobolus cryptandrus,true
CPER_001,32_1_4,5,festuca octoflora,true
CPER_001,40_1_1,6,bouteloua gracilis,true
CPER_001,40_1_1,6,carex duriuscula,true
CPER_001,40_1_1,6,distichlis spicata,true
CPER_001,40_1_1,6,elymus smithii,true
CPER_001,40_1_1,6,sporobolus cryptandrus,true
CPER_001,40_1_1,6,festuca octoflora,true
CPER_001,40_1_3,4,bouteloua gracilis,true
CPER_001,40_1_3,4,distichlis spicata,true
CPER_001,40_1_3,4,elymus smithii,true
CPER_001,40_1_3,4,sporobolus cryptandrus,true
CPER_001,41_1_1,6,bouteloua gracilis,true
CPER_001,41_1_1,6,carex duriuscula,true
CPER_001,41_1_1,6,distichlis spicata,true
CPER_001,41_1_1,6,elymus smithii,true
CPER_001,41_1_1,6,sporobolus cryptandrus,true
CPER_001,41_1_1,6,festuca octoflora,true
CPER_001,41_1_4,8,artemisia frigida,true
CPER_001,41_1_4,8,bouteloua gracilis,true
CPER_001,41_1_4,8,distichlis spicata,true
CPER_001,41_1_4,8,elymus smithii,true
CPER_001,41_1_4,8,phemeranthus parviflorus,true
CPER_001,41_1_4,8,portulaca oleracea,true
CPER_001,41_1_4,8,sporobolus cryptandrus,true
CPER_001,41_1_4,8,festuca octoflora,true
CPER_001,31_1_1,10,elymus albicans,pred
CPER_001,31_1_1,10,elymus lanceolatus,pred
CPER_001,31_1_1,10,sporobolus hookerianus,pred
CPER_001,31_1_1,10,distichlis spicata,pred
CPER_001,31_1_1,10,muhlenbergia pungens,pred
CPER_001,31_1_1,10,muhlenbergia richardsonis,pred
CPER_001,31_1_1,10,atriplex canescens,pred
CPER_001,31_1_1,10,hesperostipa comata,pred
CPER_001,31_1_1,10,pediomelum linearifolium,pred
CPER_001,31_1_1,10,muhlenbergia multiflora,pred
CPER_001,31_1_4,8,bouteloua gracilis,pred
CPER_001,31_1_4,8,bouteloua dactyloides,pred
CPER_001,31_1_4,8,chloris verticillata,pred
CPER_001,31_1_4,8,hesperostipa comata,pred
CPER_001,31_1_4,8,elymus albicans,pred
CPER_001,31_1_4,8,sporobolus hookerianus,pred
CPER_001,31_1_4,8,sporobolus airoides,pred
CPER_001,31_1_4,8,carex duriuscula,pred
