label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Acacia macracantha Humb. & Bonpl. ex Willd.,Vachellia macracantha,Acacia macracantha Humb. & Bonpl. ex Willd.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Vachellia macracantha,MULTI_EXACT_MATCH_PRIMARY_SOURCE_SYNONYMS_INFRASPECIFIC_SCORE
Acalypha rhomboidea Raf.,Acalypha rhomboidea,Acalypha rhomboidea Raf.,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha rhomboidea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acalypha virginica L.,Acalypha virginica,Acalypha virginica L.,Plantae Tracheophyta Magnoliopsida Malpighiales Euphorbiaceae Acalypha virginica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Acanthospermum hispidum DC.,Acanthospermum hispidum,Acanthospermum hispidum DC.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Acanthospermum hispidum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acer negundo L.,Acer negundo,Acer negundo L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer negundo,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acer platanoides L.,Acer platanoides,Acer platanoides L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer platanoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Acer rubrum L.,Acer rubrum,Acer rubrum L.,Plantae Tracheophyta Magnoliopsida Sapindales Sapindaceae Acer rubrum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Achillea millefolium L.,Achillea millefolium,Achillea millefolium L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Achillea millefolium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Actaea racemosa L.,Actaea racemosa,Actaea racemosa L.,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Actaea racemosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Actaea rubra (Aiton) Willd.,Actaea rubra,Actaea rubra (Aiton) Willd.,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Actaea rubra,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Adiantum pedatum L.,Adiantum pedatum,Adiantum pedatum L.,Plantae Tracheophyta Polypodiopsida Polypodiales Pteridaceae Adiantum pedatum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Ageratina altissima (L.) R.M. King & H. Rob.,Ageratina altissima,Ageratina altissima (L.) R.M. King & H. Rob.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ageratina altissima,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agrimonia parviflora Aiton,Agrimonia parviflora,Agrimonia parviflora Aiton,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Agrimonia parviflora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Agrimonia rostellata Wallr.,Agrimonia rostellata,Agrimonia rostellata Wallr.,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Agrimonia rostellata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Agrostis gigantea Roth,Agrostis gigantea,Agrostis gigantea Roth,Plantae Tracheophyta Liliopsida Poales Poaceae Agrostis gigantea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,Ailanthus altissima (Mill.) Swingle,Plantae Tracheophyta Magnoliopsida Sapindales Simaroubaceae Ailanthus altissima,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Alliaria petiolata (M. Bieb.) Cavara & Grande,Alliaria petiolata,Alliaria petiolata (M. Bieb.) Cavara & Grande,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Alliaria petiolata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Allium vineale L.,Allium vineale,Allium vineale L.,Plantae Tracheophyta Liliopsida Asparagales Amaryllidaceae Allium vineale,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Alternanthera caracasana Kunth,Alternanthera caracasana,Alternanthera caracasana Kunth,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Alternanthera caracasana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Amaranthaceae sp., ,Amaranthaceae sp.,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Ambrosia artemisiifolia L.,Ambrosia artemisiifolia,Ambrosia artemisiifolia L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ambrosia artemisiifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Amelanchier arborea (Michx. f.) Fernald,Amelanchier arborea,Amelanchier arborea (Michx. f.) Fernald,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Amelanchier arborea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Amelanchier sp.,Amelanchier ,Amelanchier sp.,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Amelanchier,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Amphicarpaea bracteata (L.) Fernald,Amphicarpaea bracteata,Amphicarpaea bracteata (L.) Fernald,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Amphicarpaea bracteata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Anagallis arvensis L.,Lysimachia arvensis,Anagallis arvensis L.,Plantae Tracheophyta Magnoliopsida Ericales Primulaceae Lysimachia arvensis,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Andropogon gerardii Vitman,Andropogon gerardi,Andropogon gerardii Vitman,Plantae Tracheophyta Liliopsida Poales Poaceae Andropogon gerardi,FUZZY_MATCH_PRIMARY_SOURCE_ACCEPTED
Andropogon virginicus L. var. virginicus,Andropogon virginicus,Andropogon virginicus L. var. virginicus,Plantae Tracheophyta Liliopsida Poales Poaceae Andropogon virginicus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Anemone virginiana L. var. virginiana,Anemone virginiana,Anemone virginiana L. var. virginiana,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Anemone virginiana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Anthemis arvensis L.,Anthemis arvensis,Anthemis arvensis L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Anthemis arvensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Anthoxanthum odoratum L.,Anthoxanthum odoratum,Anthoxanthum odoratum L.,Plantae Tracheophyta Liliopsida Poales Poaceae Anthoxanthum odoratum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
